Company Name,Overall Rating,Review Date,Review Title,Job Details,Job Title,Location,Pros,Cons
Seagate Technology,3.0,2023-06-02,great people awful management,former employee more than 8 years,senior engineer,"Longmont, CO",work life balance was good low level managers and employees made for a good working atmosphere,layoffs every 24 years compensation package lags behind the industry especially if you work in software management cycles through over hiring and layoffs
Xilinx,5.0,2022-04-09,great management and team,former employee more than 3 years,senior staff product engineer,,work life balance is great,work gets boring after a while
IDEMIA,2.0,2023-11-06,horrible management no promotion no rise low pay,former employee more than 5 years,engineer,"New York, NY",pros easy job some flexibility,you will not grow you will not learn anything useful horrible management they dont care about employees no rise no promotion no employee recognition management lies and gives fake promises each year most employees will put you under the bus
Tableau Software,3.0,2022-04-18,great product horrible management,current employee less than 1 year,technical support engineer,"Seattle, WA",the product is great and helps a lot of people as a salesforce company receive great benefits the office is nice and has free snacks,instead of hiring more people they load more work onto the employees little hope of change since upper management doe not listen to employee concerns and suggestions get stuck in a role waiting years for positions to open up to grow up within the company
Infinite Computer Solutions,4.0,2022-06-09,good management look after you,current employee more than 1 year,data engineer,"Rockville, MD",they take care of their employees for the most part being a service provider the clients always think they are right but infinite will back their employees when the client is wrong,long hours sometimes little communication
Teradata,2.0,2023-11-16,competitive salary but lacking in management direction,former employee more than 1 year,solution engineer,"San Diego, CA",compared to other similar roles in the industry the salary was above market value,lack of leadership in the competitive cloud market management is not being held accountable for a tough market onboarding when i first started was atrocious at best still felt that there was so much i wasnt taught when i left
OpenText,5.0,2024-03-05,top tier management and technical staff in zixappriver division,former employee more than 3 years,software developer,"Addison, TX",agile in spirit and execution,heavy traffic during commute time
Xilinx,1.0,2009-04-27,the greed and averous of the executive management is disgusting,current employee,senior staff engineer,"Longmont, CO",xilinx still has many exceptionally talented people working here for now the work ethic and integrity of most individual contributors is exceptional despite the ridiculous burden of work placed upon them due to layoffs,the apparent greed and averous of the executive management is disgusting they have shown monumental short sightedness in most of their recent business decisions they have been completely reactionary to the competition and have been outmaneuvered at every point since taking over in 08 xilinx presently has over 30 vps or higher and more than 180 directors or higher showing that the ratio of senior management to individual contributors is skewed to a nonsensical extreme xilinx is acting like a start up in askingpushing employees to put in very long hours to make up for the reduction in staff after two sizable layoffs this might be reasonable if employees believed management had some intelligent plan for the future but no such plan has been communicated there is little prospect of reward for the extra effort being demanded when the economy improves i predict a mass exodus from xilinx us and europe this is probably what moshe is wanting so he can move more jobs to india and singapore
Samsung SDS,2.0,2024-01-09,low pay and limited direction from management,current employee,sr engineer,"Ridgefield Park, NJ",decent work life balance global brand,pay is exceptionally low for tech roles and across the company management is hampered by hq in korea long term strategy gets nixed every few years due to reorg no career growth annual reviews are graded on a curve so be prepared to hear you did amazing year after year but that your manager can only give a limited number of good reviews so your bonus pay is nil poor benefits to comparable companies nonnative koreans are treated poorly
DocuSign,5.0,2024-01-06,great company to work with good management,current employee more than 3 years,sr technical support engineer,"San Francisco, CA",worklife balance is great good management team to lead and respect the workers,project planning can be improve
Meta,3.0,2023-11-26,great workplace but higher management can bring issues,current employee,production engineer,,meta really can be an incredible place to work in terms of perks they will certainly look after you meals healthcare life benefits etc top class in terms of all that also compensation is fantastic which is a big + tech teams are full of very great people and overall there is a really good work ethic,the people team who manage things such as psc feedback season and make decisions this year about remote policies etc is so disjointed and seems to consider the actual employees last in the equation there is a complete lack of transparency and everything can change on a dime which it makes it difficult to have stability in your own life which thus makes all the perks that bit more redundant also in terms of learning and career opportunities for those earlier in their careers you will be learning things a very meta way everything will be inhouse which can make it just that bit harder to transition out of your role to a company using industry standards
Seagate Technology,3.0,2023-09-01,ok place to work management needs serious training,current employee more than 3 years,fa engineer,"Longmont, CO",good worklife balance lots of challenging technical projects,very political environment team work is abysmal especially after rounds of lay offs some senior management tend to cherry pick certain favorite individual subordinates and spend exclusive technical and social time with them only without including other team members isolation is typical in engineering work and you get your work done go home rinse repeat but so much for companys motto of inclusion
Infinite Computer Solutions,3.0,2023-11-21,arent upfront about duties distant management,current employee more than 1 year,desktop support engineer,"Duarte, CA",no drama with receiving checks environment isnt toxic,didnt disclose mandatory on call days salary is very low for the field
F5,3.0,2023-06-08,great group of people but management does not lead,former employee,senior knowledge engineer,,the people there are top notch it is an inclusive environment they share knowledge and help each other constant exposure to new ideas and technologies best group of people i have ever worked with,executive management is not leading they are unable to articulate goals and direction of company such as 5 year outlook 10 year outlook etc new technology is up and coming they jump on it without considering what it will bring to the company other than money so it often takes a while for them to figure out how they will incorporate it into the existing products they give themselves bonuses and raises while the majority of the company will get promotions without pay raises often release security and software updates without vetting product versions are fragmented and span a large range making supporting various versions a nightmare
Sage,5.0,2024-03-04,exceptional work environment and supportive management at sage,current employee less than 1 year,site reliability engineer,"Newcastle upon Tyne, England",i am writing to express my heartfelt appreciation for the incredible work culture and management support at sage as a recent graduate sre my experience with sage has been nothing short of remarkable and i feel compelled to share the positive impact it has had on my professional journey first and foremost sage has introduced me to a worklife balance that i never knew was possible the emphasis on maintaining a healthy equilibrium between work and personal life has greatly contributed to my overall wellbeing this has not only enhanced my job satisfaction but has also allowed me to bring my best self to the workplace each day the management at sage deserves commendation for their exceptional leadership and unwavering support the teams commitment to fostering a collaborative and inclusive environment is truly inspiring i have found the management to be approachable understanding and always ready to assist their proactive stance in ensuring that every team member is engaged and motivated is a testament to their dedication to employee growth and satisfaction one aspect that sets sage apart is the dynamic and stimulating work environment i appreciate how the management actively works to prevent monotony and ensures that no day is like the other this commitment to variety and challenge has fuelled my motivation to continuously learn and grow within the company moreover the opportunities for professional development and learning are abundant at sage the encouragement to take on new challenges coupled with the ample resources provided for skill enhancement has been instrumental in my personal and career growth in conclusion i am genuinely grateful to be a part of the sage family the positive atmosphere the supportive management and the focus on employee wellbeing have made my transition into the professional world seamless and enjoyable i look forward to contributing my best to sages success while continuing to grow both personally and professionally thank you for providing an exceptional workplace that fosters growth collaboration and wellbeing,no cons all positive great job team
Pactera,4.0,2013-11-22,this is a nice company to work for i do like the people management in this company,current employee more than 3 years,build engineer,"Redmond, WA",i have a very good time to work in this company have a lot of fun activities,not really if i have to say i would suggest to have a more clearlyspecific career yearly review program to define an employees value
Google,4.0,2024-02-01,good place to work until recent bad management decisions,current employee more than 5 years,product design engineer,"Mountain View, CA",great perks lots of internal career mobility previously generally open culture on most teams but this is changing nowadays,there is a lack of centralized vision for the future and management is quite disconnected from the rank and file
Intel Corporation,2.0,2024-02-03,pay was great management and job satisfaction were low lights,former employee more than 5 years,senior principal engineer,"San Jose, CA",interesting technology pay and bonus was great,we had the lowest satisfaction rating of any part of intel classic problems with acquiring a company new management who did not understand what we did
Unity,2.0,2023-06-20,great place to build up your resume and coast management is terrible and literally despised by the employees,current employee more than 3 years,ui tools engineer,"Seattle, WA",good work life balance decent chance of stocks being worth something in 10 years if management doesnt completely run it into the ground carries some weight on resumes due to it being a household name in game development,managementcsuite are completely disconnected from reality none of them seem to have any technical chops to speak of meaning that they are a bunch of salesmarketing folks trying to run a tech company and failing at it badly in my opinion employees literally despise them and make this known quite loudly and the csuite instead of taking this feedback and making changes chooses to lash out at employees who speak up and have fired employees for calling the csuite out for their outoftouchness morale is low and has been for years interteam dependencies and production processes are abysmal ever seen that meme of how microsoft teams are a bunch of people pointing weapons at each other thats kinda what unity is like right now
