Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons,Overall Review,Overall Review with Title,Sentiment,Check
Amadeus,1,8/10/2023,amadeus bengaluru office has a work culture of 1415 hours a day,software development engineer sde ii,current employee more than 3 years,Bengaluru,i was told that it has a good work culture but after spending few months i got to know that people are working extra 45 hours every days after office hours,bad work life balance managers dont care about employees health they just want to get the work out of employees it is a bad idea to join amadeus if you are seeking for work life balance unfortunately nobody talks about it in the name of facilities hr gives cult membership to 703000 employees which comes around 2 of total employees in bangalore office unfortunately every other employee at least in my team and few teams i know is overloaded with a lot of work bangalore management divide employee efforts like 304030 and ask the senior members to work on three different projects when it comes to support the tools and process in amadeus is crap most of the applications does not gives you the right logs instead it leads into the wrong direction managers push you to complete the task as soon as possible managers out unnecessary pressure on the team which leads a bad delivery and reworkescalations,i was told that it has a good work culture but after spending few months i got to know that people are working extra 45 hours every days after office hours bad work life balance managers dont care about employees health they just want to get the work out of employees it is a bad idea to join amadeus if you are seeking for work life balance unfortunately nobody talks about it in the name of facilities hr gives cult membership to 703000 employees which comes around 2 of total employees in bangalore office unfortunately every other employee at least in my team and few teams i know is overloaded with a lot of work bangalore management divide employee efforts like 304030 and ask the senior members to work on three different projects when it comes to support the tools and process in amadeus is crap most of the applications does not gives you the right logs instead it leads into the wrong direction managers push you to complete the task as soon as possible managers out unnecessary pressure on the team which leads a bad delivery and reworkescalations,amadeus bengaluru office has a work culture of 1415 hours a day // i was told that it has a good work culture but after spending few months i got to know that people are working extra 45 hours every days after office hours bad work life balance managers dont care about employees health they just want to get the work out of employees it is a bad idea to join amadeus if you are seeking for work life balance unfortunately nobody talks about it in the name of facilities hr gives cult membership to 703000 employees which comes around 2 of total employees in bangalore office unfortunately every other employee at least in my team and few teams i know is overloaded with a lot of work bangalore management divide employee efforts like 304030 and ask the senior members to work on three different projects when it comes to support the tools and process in amadeus is crap most of the applications does not gives you the right logs instead it leads into the wrong direction managers push you to complete the task as soon as possible managers out unnecessary pressure on the team which leads a bad delivery and reworkescalations,Negative,
X,1,20/9/2023,not what it used to be,data scientist,former employee,"San Francisco, CA",lots of opportunity for ownership,a visceral feeling that employees are dispensable,lots of opportunity for ownership a visceral feeling that employees are dispensable,not what it used to be // lots of opportunity for ownership a visceral feeling that employees are dispensable,Negative,
Deliveroo,1,1/2/2024,think twice,site manager,current employee,"London, England",good salary and holiday allowance,no work life balance and terrible management,good salary and holiday allowance no work life balance and terrible management,think twice // good salary and holiday allowance no work life balance and terrible management,Negative,
Workday,1,6/11/2023,do not fall for the hype,anonymous employee,former employee more than 3 years,"Pleasanton, CA",some people that you will work with,management politics toxicity lack of operational stability this place is hyped up but do not fall for it after working tirelessly for close to four years to build a whole team from the ground up i was asked to leave with a meagre severance package the initial shock was unfathomable every person that i worked with including my own team that i also build from scratch was shattered and thought i was joking when i said i was being asked to leave the impact that we had created as a team was large and the change that i orchestrated was felt through out the company and i had won accolades and many recommendations and reviews for it my manager knew nothing about our business area but was still asked to lead a significant charter including my team which she knew absolutely nothing about she was close to a certain someone in the csuite she was asked to leave a few months after i left but the damage was done and irreversible no one questioned her and i had to leave a thriving team and work behind now they have opened a role again and it is the same role that i had why wasnt i given that opportunity when my team and i proved our worth so many times through such impactful work it is dirty politics it is a sham please beware,some people that you will work with management politics toxicity lack of operational stability this place is hyped up but do not fall for it after working tirelessly for close to four years to build a whole team from the ground up i was asked to leave with a meagre severance package the initial shock was unfathomable every person that i worked with including my own team that i also build from scratch was shattered and thought i was joking when i said i was being asked to leave the impact that we had created as a team was large and the change that i orchestrated was felt through out the company and i had won accolades and many recommendations and reviews for it my manager knew nothing about our business area but was still asked to lead a significant charter including my team which she knew absolutely nothing about she was close to a certain someone in the csuite she was asked to leave a few months after i left but the damage was done and irreversible no one questioned her and i had to leave a thriving team and work behind now they have opened a role again and it is the same role that i had why wasnt i given that opportunity when my team and i proved our worth so many times through such impactful work it is dirty politics it is a sham please beware,do not fall for the hype // some people that you will work with management politics toxicity lack of operational stability this place is hyped up but do not fall for it after working tirelessly for close to four years to build a whole team from the ground up i was asked to leave with a meagre severance package the initial shock was unfathomable every person that i worked with including my own team that i also build from scratch was shattered and thought i was joking when i said i was being asked to leave the impact that we had created as a team was large and the change that i orchestrated was felt through out the company and i had won accolades and many recommendations and reviews for it my manager knew nothing about our business area but was still asked to lead a significant charter including my team which she knew absolutely nothing about she was close to a certain someone in the csuite she was asked to leave a few months after i left but the damage was done and irreversible no one questioned her and i had to leave a thriving team and work behind now they have opened a role again and it is the same role that i had why wasnt i given that opportunity when my team and i proved our worth so many times through such impactful work it is dirty politics it is a sham please beware,Negative,
Autodesk,1,2/1/2024,bad company,marketing manager,current employee more than 1 year,"San Francisco, CA",big company good for resume,employees are overworked and mistreated and hr sides managers,big company good for resume employees are overworked and mistreated and hr sides managers,bad company // big company good for resume employees are overworked and mistreated and hr sides managers,Negative,
Gemalto,1,6/1/2017,program engineer,project engineer,former employee more than 3 years,"Austin, TX",great place to work if you are newly hired from collegeuniversity and are looking for a first job for a few months to a year experience different cultures and nationalities,poor working environment and poor management decisions base employees bear the stress of these poor decisions understaffed continually understaffed and no new employees were ever hired after managers promised to make more hires for over a year management then hired employees in foreign locations that caused more stress and problems impossible deadlines told that we would have to complete a 15 year long project in 6 months team had worked 80+ hour weeks and weekends then was blamed when goals were not met mistrust management and hr would say one thing then do another hr told us that being an exempt employee means that we would be working at least 40 hours weekly and therefor required to stay extra and work weekends united states law defines an exempt employee much differently hr promised to cover certain payments in job acceptance then attempted to deny these expenses after hired management promised to hire more employees after being given many resumes and resources for nearly a year then moved tasks to a foreign location and hired employees found out it was planned the entire time management would continue to promise events and recuperation to hardworking employees but either cancelled events or made failed promises on business trips managers and upper level employees set bad examples by making lavish expenses and breaking corporate policy then denying expenses to lower level employees,great place to work if you are newly hired from collegeuniversity and are looking for a first job for a few months to a year experience different cultures and nationalities poor working environment and poor management decisions base employees bear the stress of these poor decisions understaffed continually understaffed and no new employees were ever hired after managers promised to make more hires for over a year management then hired employees in foreign locations that caused more stress and problems impossible deadlines told that we would have to complete a 15 year long project in 6 months team had worked 80+ hour weeks and weekends then was blamed when goals were not met mistrust management and hr would say one thing then do another hr told us that being an exempt employee means that we would be working at least 40 hours weekly and therefor required to stay extra and work weekends united states law defines an exempt employee much differently hr promised to cover certain payments in job acceptance then attempted to deny these expenses after hired management promised to hire more employees after being given many resumes and resources for nearly a year then moved tasks to a foreign location and hired employees found out it was planned the entire time management would continue to promise events and recuperation to hardworking employees but either cancelled events or made failed promises on business trips managers and upper level employees set bad examples by making lavish expenses and breaking corporate policy then denying expenses to lower level employees,program engineer // great place to work if you are newly hired from collegeuniversity and are looking for a first job for a few months to a year experience different cultures and nationalities poor working environment and poor management decisions base employees bear the stress of these poor decisions understaffed continually understaffed and no new employees were ever hired after managers promised to make more hires for over a year management then hired employees in foreign locations that caused more stress and problems impossible deadlines told that we would have to complete a 15 year long project in 6 months team had worked 80+ hour weeks and weekends then was blamed when goals were not met mistrust management and hr would say one thing then do another hr told us that being an exempt employee means that we would be working at least 40 hours weekly and therefor required to stay extra and work weekends united states law defines an exempt employee much differently hr promised to cover certain payments in job acceptance then attempted to deny these expenses after hired management promised to hire more employees after being given many resumes and resources for nearly a year then moved tasks to a foreign location and hired employees found out it was planned the entire time management would continue to promise events and recuperation to hardworking employees but either cancelled events or made failed promises on business trips managers and upper level employees set bad examples by making lavish expenses and breaking corporate policy then denying expenses to lower level employees,Negative,
Rakuten,1,31/10/2023,its getting worse,senior software engineer,current employee more than 8 years,"Salt Lake City, UT",the only reason i like working at rakuten is my team and the people i work with,way to controlling with computer software for security interruptions constantly threats and do what you are told attitude is not helpful the bureaucracy is ridiculous its hard to get anything done timely,the only reason i like working at rakuten is my team and the people i work with way to controlling with computer software for security interruptions constantly threats and do what you are told attitude is not helpful the bureaucracy is ridiculous its hard to get anything done timely,its getting worse // the only reason i like working at rakuten is my team and the people i work with way to controlling with computer software for security interruptions constantly threats and do what you are told attitude is not helpful the bureaucracy is ridiculous its hard to get anything done timely,Negative,
Ingram Micro,1,29/7/2023,job types,anonymous employee,current employee less than 1 year,"Moore, SC",no pros only cons very toxic place and managers,they were misleading your pay start at the bare minimum every one stands and work the desk or table is much lower and they are not adjustable only managers and supervisor sit they really micro manage constantly pulling you back and forth on different jobs you didnt put in for,no pros only cons very toxic place and managers they were misleading your pay start at the bare minimum every one stands and work the desk or table is much lower and they are not adjustable only managers and supervisor sit they really micro manage constantly pulling you back and forth on different jobs you didnt put in for,job types // no pros only cons very toxic place and managers they were misleading your pay start at the bare minimum every one stands and work the desk or table is much lower and they are not adjustable only managers and supervisor sit they really micro manage constantly pulling you back and forth on different jobs you didnt put in for,Negative,
Tata Consultancy Services,1,27/1/2024,avoid,senior business consultant,current employee more than 1 year,"Newark, NJ",may get to work on good projects,work culture long hours bureaucracy politics,may get to work on good projects work culture long hours bureaucracy politics,avoid // may get to work on good projects work culture long hours bureaucracy politics,Negative,
SAP,1,12/1/2024,not the best place to work anymore,senior business processes,current employee more than 8 years,"Newtown Square, PA",benefits related to health and work life balance,recently the board is pushing everybody to return to office 3 days a week even when you dont have direct colleagues at your office which is completely nonsense,benefits related to health and work life balance recently the board is pushing everybody to return to office 3 days a week even when you dont have direct colleagues at your office which is completely nonsense,not the best place to work anymore // benefits related to health and work life balance recently the board is pushing everybody to return to office 3 days a week even when you dont have direct colleagues at your office which is completely nonsense,Negative,
Bloomberg,1,22/11/2023,diversity inclusion that supports existing exclusion,software engineer,current employee less than 1 year,"London, England",nothing you couldnt get elsewhere,relevant to the 3 in the uk12 in us top four levels of engineering are near 100 wseasa check fon reflects decades of racist hiring and promotion practices preference in hiring african graduates to boost race ratios for two reasons no one on a visa is going to speak up about racism the opposite they will support the racist work culture and two they can pay them less than a visa candidate from seasa hostile work culture racial codes and signalling pocket tapping bag clutching ignoring you in meetings harassment from security false accusations of theft racist language segregating into race dominate teams all seasa teams but never all aaad walking through the london office is like walking through a neighbourhood you dont belong in i suspect if desks could have hazard lights and alarms they would be flashinggoing off as you pass by dont trust hr or any diversity advocate outside agencies charities especially if they say its anonymous they are all there to protect the company in case of litigation media attention get a lawyersolicitor instead all comes from the founder micheal bloomberg no surprise he came up with stopandfrisk which was then copied by the uk with stopandsearch,nothing you couldnt get elsewhere relevant to the 3 in the uk12 in us top four levels of engineering are near 100 wseasa check fon reflects decades of racist hiring and promotion practices preference in hiring african graduates to boost race ratios for two reasons no one on a visa is going to speak up about racism the opposite they will support the racist work culture and two they can pay them less than a visa candidate from seasa hostile work culture racial codes and signalling pocket tapping bag clutching ignoring you in meetings harassment from security false accusations of theft racist language segregating into race dominate teams all seasa teams but never all aaad walking through the london office is like walking through a neighbourhood you dont belong in i suspect if desks could have hazard lights and alarms they would be flashinggoing off as you pass by dont trust hr or any diversity advocate outside agencies charities especially if they say its anonymous they are all there to protect the company in case of litigation media attention get a lawyersolicitor instead all comes from the founder micheal bloomberg no surprise he came up with stopandfrisk which was then copied by the uk with stopandsearch,diversity inclusion that supports existing exclusion // nothing you couldnt get elsewhere relevant to the 3 in the uk12 in us top four levels of engineering are near 100 wseasa check fon reflects decades of racist hiring and promotion practices preference in hiring african graduates to boost race ratios for two reasons no one on a visa is going to speak up about racism the opposite they will support the racist work culture and two they can pay them less than a visa candidate from seasa hostile work culture racial codes and signalling pocket tapping bag clutching ignoring you in meetings harassment from security false accusations of theft racist language segregating into race dominate teams all seasa teams but never all aaad walking through the london office is like walking through a neighbourhood you dont belong in i suspect if desks could have hazard lights and alarms they would be flashinggoing off as you pass by dont trust hr or any diversity advocate outside agencies charities especially if they say its anonymous they are all there to protect the company in case of litigation media attention get a lawyersolicitor instead all comes from the founder micheal bloomberg no surprise he came up with stopandfrisk which was then copied by the uk with stopandsearch,Negative,
Meltwater,1,2/11/2022,the worst company ive ever worked at,sales consultant,former employee less than 1 year,"Miami, FL",i truly cannot think of one positive experience working at this horrible company however i was recently compensated as a result of a class action lawsuit they settled for screwing me out of overtime wages ill count that as a positive,basically a frat culture of salespeople shoveling a flashy but ultimately overpriced and frivolous product to businesses who can neither afford it nor find a substantial use case for it,i truly cannot think of one positive experience working at this horrible company however i was recently compensated as a result of a class action lawsuit they settled for screwing me out of overtime wages ill count that as a positive basically a frat culture of salespeople shoveling a flashy but ultimately overpriced and frivolous product to businesses who can neither afford it nor find a substantial use case for it,the worst company ive ever worked at // i truly cannot think of one positive experience working at this horrible company however i was recently compensated as a result of a class action lawsuit they settled for screwing me out of overtime wages ill count that as a positive basically a frat culture of salespeople shoveling a flashy but ultimately overpriced and frivolous product to businesses who can neither afford it nor find a substantial use case for it,Negative,
X,1,6/2/2024,review,legal,former employee,"San Francisco, CA",good culture cool lunch collaborative,change leadership no longer old company,good culture cool lunch collaborative change leadership no longer old company,review // good culture cool lunch collaborative change leadership no longer old company,Negative,
Rakuten,1,30/3/2022,lagging in the market poor culture all throughout,anonymous employee,former employee less than 1 year,"San Mateo, CA",get to experience working for a japan based company,lack of innovation poor leadership political,get to experience working for a japan based company lack of innovation poor leadership political,lagging in the market poor culture all throughout // get to experience working for a japan based company lack of innovation poor leadership political,Negative,
Sabre,1,19/7/2023,unstable at best look for a buyout or bankruptcy soon,anonymous employee,former employee more than 10 years,"Southlake, TX",great people when they are not being riffed and a lot of good managers great amount of time off including company closes down last week of the year loved the it folks and the hub made it easy to go to when there were laptop or other it based issues,hard to get approval on projects many meetings are all out of a normal work day poland has no problem setting up a 46 hour meeting starting at 2am ct instead of compromising on both ends of work day way too many meetings and not enough time to do actual job if meetings cant be found within the 812 and 15 time frame then they schedule over lunch which for most is more about breathing room adn catching up on email a lot of shifting of teams causing churn layoffs happen once to twice year and have so for well over 20 years most are not merit but for cost savings ie senior experienced employees present ceo is only there to clean house and will to blame for more than expected people leaving above the over 1100 let go back in may he and his newest clevel minion need to stop blaming the better clevel people who were let go s menke was a decent ceo but ke is awful only there for the kill,great people when they are not being riffed and a lot of good managers great amount of time off including company closes down last week of the year loved the it folks and the hub made it easy to go to when there were laptop or other it based issues hard to get approval on projects many meetings are all out of a normal work day poland has no problem setting up a 46 hour meeting starting at 2am ct instead of compromising on both ends of work day way too many meetings and not enough time to do actual job if meetings cant be found within the 812 and 15 time frame then they schedule over lunch which for most is more about breathing room adn catching up on email a lot of shifting of teams causing churn layoffs happen once to twice year and have so for well over 20 years most are not merit but for cost savings ie senior experienced employees present ceo is only there to clean house and will to blame for more than expected people leaving above the over 1100 let go back in may he and his newest clevel minion need to stop blaming the better clevel people who were let go s menke was a decent ceo but ke is awful only there for the kill,unstable at best look for a buyout or bankruptcy soon // great people when they are not being riffed and a lot of good managers great amount of time off including company closes down last week of the year loved the it folks and the hub made it easy to go to when there were laptop or other it based issues hard to get approval on projects many meetings are all out of a normal work day poland has no problem setting up a 46 hour meeting starting at 2am ct instead of compromising on both ends of work day way too many meetings and not enough time to do actual job if meetings cant be found within the 812 and 15 time frame then they schedule over lunch which for most is more about breathing room adn catching up on email a lot of shifting of teams causing churn layoffs happen once to twice year and have so for well over 20 years most are not merit but for cost savings ie senior experienced employees present ceo is only there to clean house and will to blame for more than expected people leaving above the over 1100 let go back in may he and his newest clevel minion need to stop blaming the better clevel people who were let go s menke was a decent ceo but ke is awful only there for the kill,Negative,
Grab,1,30/6/2023,not worth it,software engineer,current employee,"Bellevue, WA",new tech stack smart people,toxic culture bad wlb lack of management,new tech stack smart people toxic culture bad wlb lack of management,not worth it // new tech stack smart people toxic culture bad wlb lack of management,Negative,
DXC Technology,1,7/2/2024,stay away,sr analyst,current employee more than 10 years,"Hartford, CT",the only good things about dxc is remote first culture and the time off,management has no clue ive been working for dxc formally csc for 13 years it was hard to move positions within the company once you get in they dont let you move they say it all the time but barely ever happens new job titles to try to make employees happy but doesnt work no raises i havent seen a raise in years even during our pay restructure have gotten great reviews i got thrown more and more work because i actually do work most of the company are just freeloaders i could go on about the cutlure its best to stay away or use as a quick stop stepping stone im looking to leave i should have a long time ago,the only good things about dxc is remote first culture and the time off management has no clue ive been working for dxc formally csc for 13 years it was hard to move positions within the company once you get in they dont let you move they say it all the time but barely ever happens new job titles to try to make employees happy but doesnt work no raises i havent seen a raise in years even during our pay restructure have gotten great reviews i got thrown more and more work because i actually do work most of the company are just freeloaders i could go on about the cutlure its best to stay away or use as a quick stop stepping stone im looking to leave i should have a long time ago,stay away // the only good things about dxc is remote first culture and the time off management has no clue ive been working for dxc formally csc for 13 years it was hard to move positions within the company once you get in they dont let you move they say it all the time but barely ever happens new job titles to try to make employees happy but doesnt work no raises i havent seen a raise in years even during our pay restructure have gotten great reviews i got thrown more and more work because i actually do work most of the company are just freeloaders i could go on about the cutlure its best to stay away or use as a quick stop stepping stone im looking to leave i should have a long time ago,Negative,
Atos,1,8/2/2023,very horrid employer,onsite support technician,current employee,"Knoxville, TN",atos provides it services for siemens the siemens company culture is amazing,the company lied from day one in all the interviews the position was described as a 6 month temp to permposition on day one i was informed that the company never hired anyone to perm for it positions and that they would move me from temp company to temp company as they saw fit to avoid labor laws the pay rate was calculated at a 2080 hour pay rate but since the position is temp and there are no paid holidays the yearly hours are really only 1960 with the company holidays the management is a joke and no one knows what is going on at any given time i have worked for the company for 2 years and still dont know who my manger is or who approves my timecard my reporting manager over my account changes on what seems like a monthly basic without warning or notification,atos provides it services for siemens the siemens company culture is amazing the company lied from day one in all the interviews the position was described as a 6 month temp to permposition on day one i was informed that the company never hired anyone to perm for it positions and that they would move me from temp company to temp company as they saw fit to avoid labor laws the pay rate was calculated at a 2080 hour pay rate but since the position is temp and there are no paid holidays the yearly hours are really only 1960 with the company holidays the management is a joke and no one knows what is going on at any given time i have worked for the company for 2 years and still dont know who my manger is or who approves my timecard my reporting manager over my account changes on what seems like a monthly basic without warning or notification,very horrid employer // atos provides it services for siemens the siemens company culture is amazing the company lied from day one in all the interviews the position was described as a 6 month temp to permposition on day one i was informed that the company never hired anyone to perm for it positions and that they would move me from temp company to temp company as they saw fit to avoid labor laws the pay rate was calculated at a 2080 hour pay rate but since the position is temp and there are no paid holidays the yearly hours are really only 1960 with the company holidays the management is a joke and no one knows what is going on at any given time i have worked for the company for 2 years and still dont know who my manger is or who approves my timecard my reporting manager over my account changes on what seems like a monthly basic without warning or notification,Negative,
NielsenIQ,1,2/2/2024,career growth,data processing analyst,former employee more than 1 year,Chennai,work culture office environment some area,no skill development no benefits no hike perks,work culture office environment some area no skill development no benefits no hike perks,career growth // work culture office environment some area no skill development no benefits no hike perks,Negative,
Dell Technologies,1,5/2/2024,went back on flexibility,product manager,current employee more than 10 years,"Philadelphia, PA",lots of great managers but are forced to micromanage due to new in office mandates,there is no word a company that prides themselves on flexibility and family first is no more now its less about what you can contribute and more about where you can contribute from used the remote role as motivation to move closer to my older parents and now im basically halted in my career and out of luck,lots of great managers but are forced to micromanage due to new in office mandates there is no word a company that prides themselves on flexibility and family first is no more now its less about what you can contribute and more about where you can contribute from used the remote role as motivation to move closer to my older parents and now im basically halted in my career and out of luck,went back on flexibility // lots of great managers but are forced to micromanage due to new in office mandates there is no word a company that prides themselves on flexibility and family first is no more now its less about what you can contribute and more about where you can contribute from used the remote role as motivation to move closer to my older parents and now im basically halted in my career and out of luck,Negative,
ByteDance,1,4/8/2023,got fired for clocking out on my app when i left,food runner,current employee less than 1 year,"Mountain View, CA",it was a nice feeling there lay back i really liked it but,i got fired because i work for an app i clock in and out of the app i clocked in with the app so i clock out with the app service for our phones didnt work i didnt get the password for the internet like the others did i was actually focused on the job but i asked her if i could stay for the rest of the shift which was like 10 15 left she said no but i was schedule to 430 but it was a whatever situation again no service i wrote the time that i actually clocked out on the paper that provided us but i still also clocked out of the app that i clock in and out to and assuming they will change it because they had the time they fired me instead and if not because of that its because i am pregnant and they knew that so for my advice i feel like instead assuming the worse in people thinking that they were trying to get over or something maybe you should ask or understand why i clocked out on the app it has a location where it shows where i am again there is no service in the building at all i never got the wifi password other than everyone else i was actually focus on the job and not on my phone and if that wasnt the cause just because someone is pregnant doesnt mean they cant do the job i am only 9 weeks but i feel that wasnt the case i really liked the job and felt like i was mistreated by being fired we have to clock in and out of the app and i let them know and i also ask them if i will be able to get paid for the last 1015ims of the shift that they said i would be working which i am not wrong for asking questions i feel completely insulted and disrespect my this company,it was a nice feeling there lay back i really liked it but i got fired because i work for an app i clock in and out of the app i clocked in with the app so i clock out with the app service for our phones didnt work i didnt get the password for the internet like the others did i was actually focused on the job but i asked her if i could stay for the rest of the shift which was like 10 15 left she said no but i was schedule to 430 but it was a whatever situation again no service i wrote the time that i actually clocked out on the paper that provided us but i still also clocked out of the app that i clock in and out to and assuming they will change it because they had the time they fired me instead and if not because of that its because i am pregnant and they knew that so for my advice i feel like instead assuming the worse in people thinking that they were trying to get over or something maybe you should ask or understand why i clocked out on the app it has a location where it shows where i am again there is no service in the building at all i never got the wifi password other than everyone else i was actually focus on the job and not on my phone and if that wasnt the cause just because someone is pregnant doesnt mean they cant do the job i am only 9 weeks but i feel that wasnt the case i really liked the job and felt like i was mistreated by being fired we have to clock in and out of the app and i let them know and i also ask them if i will be able to get paid for the last 1015ims of the shift that they said i would be working which i am not wrong for asking questions i feel completely insulted and disrespect my this company,got fired for clocking out on my app when i left // it was a nice feeling there lay back i really liked it but i got fired because i work for an app i clock in and out of the app i clocked in with the app so i clock out with the app service for our phones didnt work i didnt get the password for the internet like the others did i was actually focused on the job but i asked her if i could stay for the rest of the shift which was like 10 15 left she said no but i was schedule to 430 but it was a whatever situation again no service i wrote the time that i actually clocked out on the paper that provided us but i still also clocked out of the app that i clock in and out to and assuming they will change it because they had the time they fired me instead and if not because of that its because i am pregnant and they knew that so for my advice i feel like instead assuming the worse in people thinking that they were trying to get over or something maybe you should ask or understand why i clocked out on the app it has a location where it shows where i am again there is no service in the building at all i never got the wifi password other than everyone else i was actually focus on the job and not on my phone and if that wasnt the cause just because someone is pregnant doesnt mean they cant do the job i am only 9 weeks but i feel that wasnt the case i really liked the job and felt like i was mistreated by being fired we have to clock in and out of the app and i let them know and i also ask them if i will be able to get paid for the last 1015ims of the shift that they said i would be working which i am not wrong for asking questions i feel completely insulted and disrespect my this company,Negative,
